Infinite Flight Livery Name,Color 1,Color 2,Color 3
Red and White,#ebe9e6,#9b1e13,#020000
Black and Gray,#323331,#d13023,#cfd0ca
Launch Edition N500XC,#fbfbfa,#c03e36,#5a5b58
Orange and Gray,#e87639,#e87639,#d5d6d0
Yellow and Gray,#f7e254,#c3c4c0,#30302e
Yellow,#f8e553,#f8e553,#f8e553
"Black, Red & White",#bc2c21,#181918,#a5a097
Charcoal,#e6e9e5,#d6423f,#686c6e
No match found,#fefefe,#e9463b,#315589
Infinite Flight - Dark,#1c1d25,#f79725,#f6f7f5
Infinite Flight - Light,#1c1d25,#f79725,#f6f7f5
Maroon,#fefefd,#9da5a2,#2e0f15
N930DH,#4983d0,#29a1dc,#fefefe
Navy Blue,#151b2e,#dfe2de,#fefefd
Red Stripe,#d04e4c,#d4d4c7,#0c121a
Sea Blue,#4476de,#212121,#eceff0
No match found,#fefefe,#b83843,#0d0d0d
Alitalia CityLiner,#f2f2f0,#40696b,#c2575c
Embraer,#dddedc,#2c55b0,#dfba50
Fuji Dream Airlines,#3c5fa7,#eeec71,#d8dcdf
KLM Cityhopper,#54b3e2,#d4d7d4,#3e4a6b
Mauritania Airlines,#dbdcda,#6ec15c,#dbde56
Private (Tulip),#353843,#d8dad8,#d8bc61
Republic Airways,#dcdddb,#395d99,#d54840
TRIP Linhas Aereas,#dddedc,#393966,#647bb2
Air France Hop,#dedfdd,#d24249,#3a4d78
Embraer,#dddedc,#e95a5e,#3b49a1
Amaszonas,#707f98,#c35a62,#538f71
BA CityFlyer,#dcdddb,#d5565e,#3a4560
Breeze Airways,#2743ad,#64a6e7,#dce9ee
Bulgaria Air,#dbdcda,#5f9c7c,#bc5156
Buta Airways,#fbfbfa,#bd4d66,#233f9c
Conviasa,#dbdcdb,#c1563a,#cf9267
GX Airlines,#dddddb,#c8383b,#f2f074
Helvetic Airways,#dddddb,#d43e54,#dee0dd
JetBlue Blueprint,#4898e4,#42496b,#f0efea
Lufthansa Regional,#dededc,#394d70,#d6bc64
TAP Express,#dcdddb,#d63c3d,#cbdb7d
Tianjin Airlines,#dddedc,#db696e,#ece66b
